time,x,y,z,vx,vy,vz
226.58,422646.98866011575,-5362942.916890997,3415371.98422419,-0.9399089963857195,8.274289134801846,12.476085539617168
226.6,422646.96986075124,-5362942.751397756,3415372.233740864,-0.9400260343452929,8.275782889722736,12.475085916199408
226.62,422646.95105904626,-5362942.585874628,3415372.4832375376,-0.9401430587507412,8.277276525316081,12.474086112904844
226.64,422646.9322549995,-5362942.420321616,3415372.732714206,-0.9402600696003769,8.278770041560348,12.473086129747896
226.66,422646.9134486117,-5362942.254738725,3415372.982170866,-0.9403770668925129,8.280263438434,12.47208596674298
226.68,422646.89463988354,-5362942.089125951,3415373.231607514,-0.9404940506254622,8.281756715915503,12.47108562390452
226.7,422646.8758288146,-5362941.923483304,3415373.481024146,-0.940611020797538,8.283249873983326,12.470085101246937
226.72,422646.85701540473,-5362941.757810781,3415373.7304207594,-0.9407279774070537,8.28474291261594,12.469084398784657
226.74,422646.8381996566,-5362941.592108385,3415373.97979735,-0.940844920452323,8.286235831791819,12.468083516532113
226.76,422646.819381568,-5362941.426376119,3415374.229153913,-0.9409618499316598,8.287728631489435,12.467082454503734
226.78,422646.8005611393,-5362941.260613989,3415374.478490447,-0.9410787658433779,8.28922131168726,12.466081212713956
226.8,422646.7817383729,-5362941.094821992,3415374.7278069477,-0.9411956681857916,8.290713872363778,12.46507979117721
226.82,422646.7629132666,-5362940.929000134,3415374.97710341,-0.9413125569572153,8.292206313497463,12.464078189907942
226.84,422646.74408582295,-5362940.763148415,3415375.2263798313,-0.9414294321559635,8.293698635066798,12.463076408920594
226.86,422646.7252560398,-5362940.597266839,3415375.4756362108,-0.9415462937803512,8.295190837050264,12.462074448229606
226.88,422646.7064239185,-5362940.4313554065,3415375.7248725393,-0.941663141828693,8.296682919426345,12.461072307849426
226.9,422646.68758946063,-5362940.265414123,3415375.974088818,-0.9417799762993047,8.298174882173528,12.460069987794506
226.92,422646.668752665,-5362940.099442989,3415376.223285041,-0.9418967971905011,8.299666725270303,12.459067488079299
226.94,422646.64991353167,-5362939.933442006,3415376.472461205,-0.9420136045005981,8.301158448695155,12.458064808718259
226.96,422646.6310720623,-5362939.767411177,3415376.721617307,-0.9421303982279112,8.302650052426571,12.457061949725839
226.98,422646.6122282557,-5362939.601350506,3415376.970753342,-0.9422471783707567,8.304141536443055,12.456058911116505
227.0,422646.5933821121,-5362939.435259993,3415377.2198693077,-0.9423639449274506,8.305632900723094,12.455055692904718
227.02,422646.57453363296,-5362939.269139643,3415377.4689652007,-0.9424806978963092,8.307124145245186,12.454052295104944
227.04,422646.5556828184,-5362939.102989456,3415377.718041017,-0.9425974372756489,8.308615269987829,12.453048717731647
227.06,422646.53682966746,-5362938.936809436,3415377.9670967534,-0.942714163063787,8.31010627492952,12.452044960799302
227.08,422646.5179741827,-5362938.770599585,3415378.2161324047,-0.9428308752590399,8.311597160048768,12.451041024322382
227.1,422646.49911636196,-5362938.604359905,3415378.465147969,-0.9429475738597248,8.313087925324066,12.450036908315358
227.12,422646.4802562065,-5362938.438090399,3415378.7141434415,-0.9430642588641593,8.314578570733927,12.449032612792713
227.14,422646.4613937165,-5362938.271791068,3415378.9631188205,-0.9431809302706609,8.31606909625685,12.448028137768926
227.16,422646.4425288923,-5362938.105461916,3415379.2120741,-0.943297588077547,8.31755950187135,12.447023483258482
227.18,422646.4236617342,-5362937.939102946,3415379.461009279,-0.9434142322831359,8.319049787555935,12.446018649275862
227.2,422646.40479224315,-5362937.772714157,3415379.7099243505,-0.9435308628857456,8.320539953289117,12.44501363583556
227.22,422646.3859204172,-5362937.606295554,3415379.9588193144,-0.9436474798836944,8.322029999049407,12.444008442952065
